list_source,api_developer_name,distinct_url_count
https://tenzing.api.prod.bridgepatientportal.com/fhir/r4/service-base-url,Tenzing Medical LLC,1
https://testauth.strateqhealth.com/SmartOnFHIR/ValidURLs.json,"Strateq Health, Inc.",1
https://theoriamedical-api.charteasy.com/fhir/Theoria_ServiceBaseUrlBundle.json,"Theoria Medical, PLLC",1
https://thrive-gw.cpsi-cloud.com/api/fhir/r4/.well-known/endpoint,"TruBridge, Inc.",578
https://trial.avonhealth.com/fhir/.well-known/service-base-url,Avon Health,1
https://uat.geesemed.com/GeesemedMu3Prod/Data/FhirEndpoint/fhirR4endpoints.json,MDOfficeManager,2
https://varian.dynamicfhir.com/fhir/r4/endpoints,Varian Medical Systems,1
https://versasuite.com/VersaSuite_Drumond_Inferno_Endpoint.json,VersaSuite,1
https://wc.praxisclouds.net/Erika/api/v1/.servicebase/bundle,Infor-Med Medical Information Systems Inc.,1
https://www.agastha.com/FHIRServiceBaseURLBundle.json,"Agastha, Inc.",1
https://www.braintreehealth.com/wp-content/uploads/2024/12/mu-fhir.json,Braintree Health,1
https://www.charmhealth.com/resources/fhir/baseurls.json,MedicalMine Inc.,1
https://www.cyfluentphr.com/fhirapi/service-base-url,Cyfluent,7
https://www.drcloudehr.com/drcloud-service-base-urls.json,"EnSoftek, Inc",1
https://www.edermehr.com/sites/default/files/ValidURLs.json,eDerm Systems LLC,2
https://www.infinx.com/wp-content/uploads/base_urls.json,"Infinx Solutions, LLC",11
https://www.mdflow.com/www/pdf%20files/ValidURLs.json,"MDFlow EHR, LLC DBA: MDFlow Systems",1
https://www.mdlogiccloud.com/api/fhir/endpoints,"MD Logic, Inc.",1
https://www.medonehp.com/files/FHIR_Valid%20URLs.json,Memry Health,1
https://www.medplum.com/onc/base.json,Medplum,1
https://www.open-emr.org/files/openemr-service-base-urls.json,OpenEMR Foundation,5
https://www.pcesystems.com/api_list.json,PCE Systems,1
https://www.practicefusion.com/assets/static_files/ServiceBaseURLs.json,Practice Fusion,6868
https://www.provider.care/FHIR/MDVitaFHIRUrls.json,"Health Care 2000, Inc.",4
https://www.secureemrplus.com/fhirurlpublication/api/endpoint,Inmediata Health Group LLC,32
https://www.systemedx.com/API/endpoint.json,Systemedx Inc,1
https://www.uhc.com/legal/interoperability-apis/patient-access-api,Unknown,1
https://www.zoommd.com/Fhir-r4-Endpoints.json,Metasolutions Inc,5
